relation,canonical_typed_edges,witness_count,source_handle_count,target_handle_count,formalization_class
IMPLIES_VIA_EINSTEIN_EQUATION,1,2,1,1,other_or_source_specific
INHERITS,1,2,1,1,other_or_source_specific
INITIALIZES,1,2,1,1,other_or_source_specific
INTERPRETS_AS,1,2,1,1,other_or_source_specific
LIFTS_TO,1,1,1,1,composition_transformation_transport
LIMITS_TO,1,2,1,1,support_constraint_admissibility
LOCATED_IN,1,2,1,1,other_or_source_specific
MAKES_PARTICLE_NOTION,1,2,1,1,other_or_source_specific
MAPS,1,2,1,1,composition_transformation_transport
MAY_MODULATE,1,1,1,1,other_or_source_specific
MEASURES,1,2,1,1,realization_representation_readout
MEASURES_CHANGE_IN,1,2,1,1,realization_representation_readout
MEMBER_OF,1,2,1,1,containment_typing_structure
MODE_0_REPRESENTATION_OF,1,2,1,1,realization_representation_readout
MODE_OF,1,2,1,1,other_or_source_specific
MODIFIES,1,2,1,1,other_or_source_specific
MUST_PRECEDE_READABLE_REALIZATION,1,2,1,1,dependency_ordering
MUST_REDUCE_VIA,1,1,1,1,composition_transformation_transport
NORMALIZED_BY,1,2,1,1,other_or_source_specific
NOT_REQUIRED_FOR,1,1,1,1,support_constraint_admissibility
OBSERVED_AS,1,2,1,1,realization_representation_readout
OPERATES_ON,1,3,1,1,other_or_source_specific
OPTIONALLY_REQUIRES,1,1,1,1,support_constraint_admissibility
ORIENTS_TO,1,2,1,1,other_or_source_specific
PARAMETERIZES,1,2,1,1,other_or_source_specific
PREDICTS,1,2,1,1,validation_observation
PRESERVES,1,2,1,1,other_or_source_specific
PRESERVES_REFINEMENT_BOUNDARY,1,1,1,1,support_constraint_admissibility
PROBLEM_CREATED_BY,1,2,1,1,generation_causation
PRODUCES,1,1,1,1,generation_causation
PROJECTS,1,3,1,1,realization_representation_readout
PROJECTS_BY,1,2,1,1,realization_representation_readout
PROJECTS_THROUGH,1,2,1,1,realization_representation_readout
PROPAGATES_AS,1,3,1,1,composition_transformation_transport
PROPAGATES_IN,1,1,1,1,composition_transformation_transport
PROPAGATES_THROUGH,1,3,1,1,composition_transformation_transport
QUANTIZES_AS,1,3,1,1,realization_representation_readout
READABLE_FIELD_LIMIT_OF,1,1,1,1,support_constraint_admissibility
READABLE_HANDOFF_VIA,1,1,1,1,realization_representation_readout
READABLE_WAVE_LIMIT_OF,1,1,1,1,support_constraint_admissibility
READS_OUT_AS,1,1,1,1,realization_representation_readout
READS_OUT_AT,1,1,1,1,realization_representation_readout
READ_OUT_BY,1,2,1,1,realization_representation_readout
REALIZED_AS,1,2,1,1,realization_representation_readout
REALIZED_IN,1,2,1,1,realization_representation_readout
REALIZES_AS,1,1,1,1,realization_representation_readout
REALIZES_FROM,1,1,1,1,realization_representation_readout
REALIZES_IN,1,1,1,1,realization_representation_readout
REALIZES_INTERFACE,1,2,1,1,realization_representation_readout
REALIZES_SELECTED,1,1,1,1,realization_representation_readout
REALIZES_SINGULARITY_BRANCH,1,2,1,1,realization_representation_readout
RECONCILES,1,1,1,1,other_or_source_specific
RECOVERS,1,2,1,1,provenance_recovery_history
RECOVERS_DOMAIN,1,2,1,1,containment_typing_structure
RECOVERS_NATIVE_CORE,1,2,1,1,provenance_recovery_history
REDUCES_TO,1,2,1,1,composition_transformation_transport
REFERENCE_GRAPH_EDGE,1,2,1,1,provenance_recovery_history
RENORMALIZES_TO,1,3,1,1,other_or_source_specific
REPRESENTATION_NORMAL_FORM_MATCH,1,1,1,1,realization_representation_readout
REPRESENTS_AS,1,1,1,1,realization_representation_readout
REPRESENTS_MASS_SECTORS_OF,1,2,1,1,realization_representation_readout
REQUIRES_EXACT_SELECTOR_TO,1,2,1,1,support_constraint_admissibility
RESOLVES_BRANCH,1,2,1,1,containment_typing_structure
RETURNS_ALLOWED_MODE_SET,1,1,1,1,other_or_source_specific
RETURNS_VACUUM_ON_FAILURE,1,2,1,1,other_or_source_specific
RETYPE_OF,1,1,1,1,other_or_source_specific
ROUTES_TO_MODE_0_SINGULARITY_VIA,1,2,1,1,other_or_source_specific
SATURATION_GUARDS,1,1,1,1,other_or_source_specific
SCHUR_REDUCES,1,2,1,1,composition_transformation_transport
SECTION_OF,1,2,1,1,other_or_source_specific
SECTOR_OF,1,2,1,1,containment_typing_structure
SELECTED_BY,1,1,1,1,other_or_source_specific
SELECTS,1,2,1,1,other_or_source_specific
SELECTS_ACCESS_TO,1,1,1,1,other_or_source_specific
SELECTS_ALLOWED_MODE,1,2,1,1,other_or_source_specific
SELECTS_CONTRAST_MODE,1,1,1,1,other_or_source_specific
SELECTS_GEOMETRY_FOR,1,2,1,1,other_or_source_specific
SELECTS_VIA,1,1,1,1,other_or_source_specific
SOURCED_BY,1,1,1,1,provenance_recovery_history
SOURCE_COARSE_GRAINS,1,1,1,1,provenance_recovery_history
SOURCE_COMPATIBILITY_LABEL,1,2,1,1,provenance_recovery_history
SOURCE_CONSTITUTIVE_MAPS_ON,1,1,1,1,composition_transformation_transport
SOURCE_CONTINUUM_LIMIT_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_EFFECTIVE_REALIZATION_OF,1,1,1,1,realization_representation_readout
SOURCE_ENTERS,1,1,1,1,provenance_recovery_history
SOURCE_GEOMETRY_RESPONSE_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_LOG_DENSITY_DEFINES,1,1,1,1,provenance_recovery_history
SOURCE_METRIC_SCALE_DEFINES,1,1,1,1,provenance_recovery_history
SOURCE_OBSERVABLE_LINKS,1,1,1,1,realization_representation_readout
SOURCE_OBSERVABLE_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_PERTURBS,1,1,1,1,provenance_recovery_history
SOURCE_PREDICTION_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_READABLE_COMPONENT_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_READOUT_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_RECOVERED_AS,1,1,1,1,provenance_recovery_history
SOURCE_REDUCTION_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_SECTOR_CALIBRATION_SUPPORTS,1,1,1,1,support_constraint_admissibility
SOURCE_SECTOR_SPECIALIZES,1,1,1,1,containment_typing_structure
SOURCE_SEEDS,1,1,1,1,provenance_recovery_history
SOURCE_USES,1,1,1,1,provenance_recovery_history
STATE_OF,1,2,1,1,containment_typing_structure
SUBSET_OF,1,1,1,1,containment_typing_structure
SUBSPACE_OF,1,2,1,1,containment_typing_structure
SUBTRACTS_BASELINE,1,2,1,1,composition_transformation_transport
SUPPLIES_MODE0_ACCESS_INTERFACE,1,1,1,1,coupling_connectivity
TERMINATES_IN_MODE_0,1,2,1,1,other_or_source_specific
TERMINATES_IN_MODE_1,1,2,1,1,other_or_source_specific
TESTS,1,1,1,1,validation_observation
TESTS_INTO,1,2,1,1,validation_observation
TRACES,1,2,1,1,provenance_recovery_history
TRACES_TO,1,2,1,1,provenance_recovery_history
TRANSDUCES_TO,1,3,1,1,realization_representation_readout
TRANSFORMS,1,1,1,1,composition_transformation_transport
TRANSLATED_BY,1,2,1,1,other_or_source_specific
TYPES_SOURCE_SCOPE_OF,1,1,1,1,provenance_recovery_history
Time-Shell projection,1,1,1,1,realization_representation_readout
USES_CLOSED_Q_SURVIVAL,1,1,1,1,coupling_connectivity
USES_COMPONENT_THEOREM,1,1,1,1,containment_typing_structure
USES_METRIC_VARIATION,1,1,1,1,coupling_connectivity
USES_OPEN_INTERFACE,1,1,1,1,coupling_connectivity
admissibility/adjacency,1,1,1,1,support_constraint_admissibility
bounds,1,1,1,1,support_constraint_admissibility
contains boundaries,1,1,1,1,support_constraint_admissibility
generates,1,1,1,1,generation_causation
geometric realization,1,1,1,1,realization_representation_readout
gravitational mode,1,1,1,1,other_or_source_specific
localizes/glues,1,1,1,1,other_or_source_specific
rho_G / U_G,1,1,1,1,other_or_source_specific
rho_Q / U_Q,1,1,1,1,other_or_source_specific
slice/embedded in,1,1,1,1,other_or_source_specific
spectral readout,1,1,1,1,realization_representation_readout
supports,1,1,1,1,support_constraint_admissibility
targets,1,1,1,1,other_or_source_specific
typed by,1,1,1,1,other_or_source_specific
